SKU Name,SKU,Sent In,Year Sent
"6"" Seasonal Ceramic",1011-165-461,"6"" White Oval Ceramic Garden W/ V-Day Pick",2026
"8"" Nepenthes HB",1000-053-242,"6"" Asst. Hanging Baskets",2026
"6"" Holiday Floral Combo",1001-363-224,"4.5"" Eternal W/ Anthurium",2026
"4"" Holiday Ceramic",1013-666-959,"3.5"" Glitter Ombre Hoya Hearts",2026
"6"" Deco Hanging Basket",1014-951-400,"4"" Foliage in En Pointe HB",2026
"6"" Nursery Knockout",1015-077-332,"6"" Foliage in Daphne",2026
"4"" Holiday Upgrade",1013-666-958,"4"" Foliage in Mae",2026
"6"" Boutique Foliage",1011-165-467,"5.5"" Money Tree in Thea Ceramic",2026
"5"" Holiday Floral",124-308,"4"" Heart Fern",2026
"4"" Terra Cotta",1006-939-489,"4"" String of Hearts W/ pink Overpot",2026
"4"" Holiday",808-047,"2.5"" Kalanchoe in Marit Ceramic",2026
"5"" Floral",323-395,"4"" Bicolor Kalanchoe in Crystal Love",2026
"3"" Mini Upgrade",1011-165-459,"2.5"" Kalanchoe in Puppy Love",2026
"6"" Nursery Knockout",1015-077-332,"6"" Alocasia Mickey Mouse in Matte Ceramic",2026
"5"" Boutique Hanging Basket",1011-165-462,"4"" Blue Oil Fern HB",2026
"6"" Bonsai Odessa",733-295,"4.5"" Evelyn Bonsai",2026
"10"" Zen Bonsai Garden",1011-165-464,"8.5"" Ellis Bonsai",2026
"4"" Floral Premium",135-235,"4"" Euphorbia",2026
"6"" Deco Hanging Basket",1014-951-400,"6"" Goldfish HB",2026
"6"" Premium Hanging Basket",1014-951-351,"6"" Asst. Tradescantia HB",2026
"10"" Floral Lavender",833-264,"Mini Roses in 8"" Double White Hanging Hearts Ceramic W/ Moss",2026
"6"" Floral Premium",136-213,"6"" Euphorbia",2026
"12"" Juniper Bonsai",1006-939-462,"Ficus Ginseng in Deco Cane",2026
"10"" UCO Combo",1004-137-856,"8"" Wulf Orchid",2026
"5"" UCO Single Stem",1004-137-854,"5"" Orchid in Flora",2026
"XL UCO Combo Ceramic",1010-108-910,"10"" Waterfall Orchid",2026
"5"" UCO Orchid",1014-951-406,"Mini Orchid in Pink & White Laurel",2026
"8"" Boutique Hanging Basket",1011-165-452,"6"" Globee Hanging Basket",2026
"6"" Premium Hanging Basket",1014-951-351,"6"" Lipstick Hanging Basket",2026
"6"" Holiday Floral",808-066,"4"" Rosaroma in Pink Ribbed Ceramic",2026
